exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
50,20.00,20.00,-20.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,25.00,25.00,-25.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,30.00,30.00,-30.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,35.00,35.00,-35.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,40.00,40.00,-40.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,45.00,45.00,-45.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,50.00,50.00,-50.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,5.00,1.00,-5.00,-5.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,10.00,1.00,-10.00,-10.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,15.00,1.00,-15.00,-15.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,20.00,1.00,-20.00,-20.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,25.00,1.00,-25.00,-25.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,30.00,1.00,-30.00,-30.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,35.00,1.00,-35.00,-35.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,40.00,1.00,-40.00,-40.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,45.00,1.00,-45.00,-45.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,50.00,1.00,-50.00,-50.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,5.00,5.00,-1.00,-5.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,10.00,10.00,-1.00,-10.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,15.00,15.00,-1.00,-15.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,20.00,20.00,-1.00,-20.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,25.00,25.00,-1.00,-25.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,30.00,30.00,-1.00,-30.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,35.00,35.00,-1.00,-35.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,40.00,40.00,-1.00,-40.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,45.00,45.00,-1.00,-45.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,50.00,50.00,-1.00,-50.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,1.00,5.00,-5.00,-5.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,1.00,10.00,-10.00,-10.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,1.00,15.00,-15.00,-15.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,1.00,20.00,-20.00,-20.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,1.00,25.00,-25.00,-25.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,1.00,30.00,-30.00,-30.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,1.00,35.00,-35.00,-35.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,1.00,40.00,-40.00,-40.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,1.00,45.00,-45.00,-45.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,1.00,50.00,-50.00,-50.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,5.00,5.00,-5.00,-5.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,10.00,10.00,-10.00,-10.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,15.00,15.00,-15.00,-15.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,20.00,20.00,-20.00,-20.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,25.00,25.00,-25.00,-25.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,30.00,30.00,-30.00,-30.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,35.00,35.00,-35.00,-35.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,40.00,40.00,-40.00,-40.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,45.00,45.00,-45.00,-45.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,50.00,50.00,-50.00,-50.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
