exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
1,1.00,0.00,0.00,0.00,"2020-06-01 09:05:26","2020-06-01 09:17:51",00:12:25,15,5,10,0,0,0,0
2,0.00,1.00,0.00,0.00,"2020-06-01 09:19:18","2020-06-01 09:30:55",00:11:37,15,12,3,0,0,0,0
3,0.00,0.00,1.00,0.00,"2020-06-01 09:33:26","2020-06-01 09:47:00",00:13:34,15,6,9,0,0,0,0
4,0.00,0.00,0.00,1.00,"2020-06-01 09:48:28","2020-06-01 10:00:48",00:12:20,15,3,12,0,0,0,0
5,1.00,5.00,0.00,0.00,"2020-06-01 10:02:11","2020-06-01 10:14:36",00:12:25,15,11,4,0,0,0,0
6,1.00,10.00,0.00,0.00,"2020-06-01 10:17:12","2020-06-01 10:28:48",00:11:36,15,12,3,0,0,0,0
7,1.00,15.00,0.00,0.00,"2020-06-01 10:31:18","2020-06-01 10:42:54",00:11:36,15,12,3,0,0,0,0
8,1.00,20.00,0.00,0.00,"2020-06-01 10:45:33","2020-06-01 10:57:58",00:12:25,15,11,4,0,0,0,0
9,1.00,25.00,0.00,0.00,"2020-06-01 11:00:33","2020-06-01 11:16:26",00:15:53,15,12,3,0,0,0,0
10,1.00,30.00,0.00,0.00,"2020-06-01 11:19:04","2020-06-01 11:31:41",00:12:37,15,11,4,0,0,0,0
11,1.00,35.00,0.00,0.00,"2020-06-01 11:34:17","2020-06-01 11:46:43",00:12:26,15,11,4,0,0,0,0
12,1.00,40.00,0.00,0.00,"2020-06-01 11:49:16","2020-06-01 12:00:52",00:11:36,15,12,3,0,0,0,0
13,1.00,45.00,0.00,0.00,"2020-06-01 12:03:36","2020-06-01 12:16:02",00:12:26,15,11,4,0,0,0,0
14,1.00,50.00,0.00,0.00,"2020-06-01 12:18:38","2020-06-01 12:33:43",00:15:05,15,12,3,0,0,0,0
15,5.00,10.00,0.00,0.00,"2020-06-01 12:35:31","2020-06-01 12:47:09",00:11:38,15,12,3,0,0,0,0
16,5.00,15.00,0.00,0.00,"2020-06-01 12:49:46","2020-06-01 13:02:24",00:12:38,15,11,4,0,0,0,0
17,5.00,20.00,0.00,0.00,"2020-06-01 13:04:59","2020-06-01 13:18:53",00:13:54,15,12,3,0,0,0,0
18,5.00,25.00,0.00,0.00,"2020-06-01 13:20:28","2020-06-01 13:32:05",00:11:37,15,12,3,0,0,0,0
19,5.00,30.00,0.00,0.00,"2020-06-01 13:34:27","2020-06-01 13:49:06",00:14:39,15,12,3,0,0,0,0
20,5.00,35.00,0.00,0.00,"2020-06-01 13:50:37","2020-06-01 14:03:02",00:12:25,15,11,4,0,0,0,0
21,5.00,40.00,0.00,0.00,"2020-06-01 14:05:39","2020-06-01 14:18:04",00:12:25,15,11,4,0,0,0,0
22,5.00,45.00,0.00,0.00,"2020-06-01 14:20:39","2020-06-01 14:35:00",00:14:21,15,11,4,0,0,0,0
23,5.00,50.00,0.00,0.00,"2020-06-01 14:36:46","2020-06-01 14:48:35",00:11:49,15,12,3,0,0,0,0
24,10.00,5.00,0.00,0.00,"2020-06-01 14:51:06","2020-06-01 15:02:44",00:11:38,15,12,3,0,0,0,0
25,10.00,15.00,0.00,0.00,"2020-06-01 15:05:03","2020-06-01 15:17:28",00:12:25,15,11,4,0,0,0,0
26,10.00,20.00,0.00,0.00,"2020-06-01 15:20:04","2020-06-01 15:33:56",00:13:52,15,12,3,0,0,0,0
27,10.00,25.00,0.00,0.00,"2020-06-01 15:35:43","2020-06-01 15:47:19",00:11:36,15,12,3,0,0,0,0
28,10.00,30.00,0.00,0.00,"2020-06-01 15:49:42","2020-06-01 16:01:18",00:11:36,15,12,3,0,0,0,0
29,10.00,35.00,0.00,0.00,"2020-06-01 16:03:49","2020-06-01 16:16:15",00:12:26,15,11,4,0,0,0,0
30,10.00,40.00,0.00,0.00,"2020-06-01 16:18:21","2020-06-01 16:30:47",00:12:26,15,11,4,0,0,0,0
31,10.00,45.00,0.00,0.00,"2020-06-01 16:33:25","2020-06-01 16:45:51",00:12:26,15,11,4,0,0,0,0
32,10.00,50.00,0.00,0.00,"2020-06-01 16:48:26","2020-06-01 17:01:14",00:12:48,15,12,3,0,0,0,0
33,15.00,5.00,0.00,0.00,"2020-06-01 17:03:28","2020-06-01 17:15:53",00:12:25,15,11,4,0,0,0,0
34,15.00,10.00,0.00,0.00,"2020-06-01 17:17:26","2020-06-01 17:29:02",00:11:36,15,12,3,0,0,0,0
35,15.00,20.00,0.00,0.00,"2020-06-01 17:31:24","2020-06-01 17:43:01",00:11:37,15,12,3,0,0,0,0
36,15.00,25.00,0.00,0.00,"2020-06-01 17:45:32","2020-06-01 17:57:57",00:12:25,15,11,4,0,0,0,0
37,15.00,30.00,0.00,0.00,"2020-06-01 18:00:32","2020-06-01 18:12:59",00:12:27,15,11,4,0,0,0,0
38,15.00,35.00,0.00,0.00,"2020-06-01 18:15:04","2020-06-01 18:27:30",00:12:26,15,11,4,0,0,0,0
39,15.00,40.00,0.00,0.00,"2020-06-01 18:29:37","2020-06-01 18:41:25",00:11:48,15,12,3,0,0,0,0
40,15.00,45.00,0.00,0.00,"2020-06-01 18:43:57","2020-06-01 18:57:54",00:13:57,15,12,3,0,0,0,0
41,15.00,50.00,0.00,0.00,"2020-06-01 18:59:25","2020-06-01 19:11:01",00:11:36,15,12,3,0,0,0,0
42,20.00,5.00,0.00,0.00,"2020-06-01 19:13:23","2020-06-01 19:25:50",00:12:27,15,11,4,0,0,0,0
43,20.00,10.00,0.00,0.00,"2020-06-01 19:27:53","2020-06-01 19:40:19",00:12:26,15,11,4,0,0,0,0
44,20.00,15.00,0.00,0.00,"2020-06-01 19:42:55","2020-06-01 19:54:43",00:11:48,15,12,3,0,0,0,0
45,20.00,25.00,0.00,0.00,"2020-06-01 19:57:15","2020-06-01 20:08:51",00:11:36,15,12,3,0,0,0,0
46,20.00,30.00,0.00,0.00,"2020-06-01 20:11:23","2020-06-01 20:23:49",00:12:26,15,11,4,0,0,0,0
47,20.00,35.00,0.00,0.00,"2020-06-01 20:26:25","2020-06-01 20:38:01",00:11:36,15,12,3,0,0,0,0
48,20.00,40.00,0.00,0.00,"2020-06-01 20:40:27","2020-06-01 20:52:53",00:12:26,15,11,4,0,0,0,0
49,20.00,45.00,0.00,0.00,"2020-06-01 20:55:28","2020-06-01 21:07:53",00:12:25,15,11,4,0,0,0,0
50,20.00,50.00,0.00,0.00,"2020-06-01 21:10:05","2020-06-01 21:21:53",00:11:48,15,12,3,0,0,0,0
51,25.00,5.00,0.00,0.00,"2020-06-01 21:24:32","2020-06-01 21:38:59",00:14:27,15,12,3,0,0,0,0
52,25.00,10.00,0.00,0.00,"2020-06-01 21:40:32","2020-06-01 21:52:58",00:12:26,15,11,4,0,0,0,0
