exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
1,1.00,1.00,-1.00,-25.00,"2020-06-01 09:05:29","2020-06-01 09:14:35",00:09:06,15,10,5,0,0,0,0
2,1.00,1.00,-1.00,-30.00,"2020-06-01 09:16:25","2020-06-01 09:26:14",00:09:49,15,10,5,0,0,0,0
3,1.00,1.00,-1.00,-35.00,"2020-06-01 09:28:15","2020-06-01 09:37:44",00:09:29,15,9,6,0,0,0,0
4,1.00,1.00,-1.00,-40.00,"2020-06-01 09:39:37","2020-06-01 09:50:01",00:10:24,15,9,5,0,0,0,1
5,1.00,1.00,-1.00,-45.00,"2020-06-01 09:52:14","2020-06-01 10:01:52",00:09:38,15,10,5,0,0,0,0
6,1.00,1.00,-1.00,-50.00,"2020-06-01 10:03:56","2020-06-01 10:14:18",00:10:22,15,9,5,0,0,0,1
7,50.00,50.00,-50.00,-50.00,"2020-06-01 10:16:34","2020-06-01 10:25:46",00:09:12,15,10,5,0,0,0,0
