exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
1,1.00,1.00,-1.00,-25.00,"2020-06-01 09:05:44","2020-06-01 09:17:20",00:11:36,15,12,3,0,0,0,0
2,1.00,1.00,-1.00,-30.00,"2020-06-01 09:19:47","2020-06-01 09:31:23",00:11:36,15,12,3,0,0,0,0
3,1.00,1.00,-1.00,-35.00,"2020-06-01 09:33:44","2020-06-01 09:46:10",00:12:26,15,11,4,0,0,0,0
4,1.00,1.00,-1.00,-40.00,"2020-06-01 09:48:46","2020-06-01 10:00:23",00:11:37,15,10,4,0,0,0,1
5,1.00,1.00,-1.00,-45.00,"2020-06-01 10:02:40","2020-06-01 10:15:06",00:12:26,15,11,4,0,0,0,0
6,1.00,1.00,-1.00,-50.00,"2020-06-01 10:17:13","2020-06-01 10:29:02",00:11:49,15,12,3,0,0,0,0
