exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
1,1.00,1.00,-1.00,-1.00,"2020-06-01 09:05:59","2020-06-01 09:17:37",00:11:38,15,12,3,0,0,0,0
2,5.00,1.00,-1.00,-1.00,"2020-06-01 09:20:08","2020-06-01 09:31:57",00:11:49,15,12,3,0,0,0,0
3,10.00,1.00,-1.00,-1.00,"2020-06-01 09:34:29","2020-06-01 09:46:05",00:11:36,15,12,3,0,0,0,0
4,15.00,1.00,-1.00,-1.00,"2020-06-01 09:48:27","2020-06-01 10:00:05",00:11:38,15,12,3,0,0,0,0
5,20.00,1.00,-1.00,-1.00,"2020-06-01 10:02:24","2020-06-01 10:16:44",00:14:20,15,12,3,0,0,0,0
6,25.00,1.00,-1.00,-1.00,"2020-06-01 10:18:16","2020-06-01 10:30:44",00:12:28,15,10,5,0,0,0,0
7,30.00,1.00,-1.00,-1.00,"2020-06-01 10:33:17","2020-06-01 10:44:53",00:11:36,15,12,3,0,0,0,0
8,35.00,1.00,-1.00,-1.00,"2020-06-01 10:47:25","2020-06-01 10:59:51",00:12:26,15,11,4,0,0,0,0
9,40.00,1.00,-1.00,-1.00,"2020-06-01 11:01:56","2020-06-01 11:14:24",00:12:28,15,11,4,0,0,0,0
10,45.00,1.00,-1.00,-1.00,"2020-06-01 11:16:59","2020-06-01 11:28:34",00:11:35,15,12,3,0,0,0,0
11,50.00,1.00,-1.00,-1.00,"2020-06-01 11:31:07","2020-06-01 11:43:33",00:12:26,15,11,4,0,0,0,0
12,1.00,5.00,-1.00,-1.00,"2020-06-01 11:45:40","2020-06-01 11:59:14",00:13:34,15,11,4,0,0,0,0
13,1.00,10.00,-1.00,-1.00,"2020-06-01 12:00:43","2020-06-01 12:12:20",00:11:37,15,12,3,0,0,0,0
14,1.00,15.00,-1.00,-1.00,"2020-06-01 12:14:41","2020-06-01 12:28:43",00:14:02,15,12,3,0,0,0,0
15,1.00,20.00,-1.00,-1.00,"2020-06-01 12:30:11","2020-06-01 12:41:48",00:11:37,15,12,3,0,0,0,0
16,1.00,25.00,-1.00,-1.00,"2020-06-01 12:44:40","2020-06-01 12:56:17",00:11:37,15,12,3,0,0,0,0
17,1.00,30.00,-1.00,-1.00,"2020-06-01 12:58:38","2020-06-01 13:10:15",00:11:37,15,12,3,0,0,0,0
18,1.00,35.00,-1.00,-1.00,"2020-06-01 13:12:35","2020-06-01 13:24:11",00:11:36,15,12,3,0,0,0,0
19,1.00,40.00,-1.00,-1.00,"2020-06-01 13:26:32","2020-06-01 13:38:58",00:12:26,15,11,4,0,0,0,0
20,1.00,45.00,-1.00,-1.00,"2020-06-01 13:41:03","2020-06-01 13:55:13",00:14:10,15,11,4,0,0,0,0
21,1.00,50.00,-1.00,-1.00,"2020-06-01 13:56:57","2020-06-01 14:08:33",00:11:36,15,12,3,0,0,0,0
22,1.00,1.00,-5.00,-1.00,"2020-06-01 14:11:03","2020-06-01 14:22:39",00:11:36,15,12,3,0,0,0,0
23,1.00,1.00,-10.00,-1.00,"2020-06-01 14:25:25","2020-06-01 14:37:14",00:11:49,15,12,3,0,0,0,0
24,1.00,1.00,-15.00,-1.00,"2020-06-01 14:39:46","2020-06-01 14:52:01",00:12:15,15,11,4,0,0,0,0
25,1.00,1.00,-20.00,-1.00,"2020-06-01 14:53:36","2020-06-01 15:05:26",00:11:50,15,12,3,0,0,0,0
26,1.00,1.00,-25.00,-1.00,"2020-06-01 15:07:57","2020-06-01 15:19:33",00:11:36,15,12,3,0,0,0,0
