task_id,task_type,start_time,target_id,robot_id,priority,cur_status,dependency,finish_time,description
58,ExecuteTask,"2020-06-01 09:49:12",21,2,2,RanToCompletion,0,"2020-06-01 09:50:58",Succeeded
59,ExecuteTask,"2020-06-01 09:49:57",22,1,2,RanToCompletion,0,"2020-06-01 09:52:04",Succeeded
60,ExecuteTask,"2020-06-01 09:50:42",23,3,2,RanToCompletion,0,"2020-06-01 09:51:35",Succeeded
61,ExecuteTask,"2020-06-01 09:51:27",24,2,2,RanToCompletion,0,"2020-06-01 09:53:22",Succeeded
62,ExecuteTask,"2020-06-01 09:52:12",25,3,2,RanToCompletion,0,"2020-06-01 09:54:25",Succeeded
63,ExecuteTask,"2020-06-01 09:52:57",26,1,2,RanToCompletion,0,"2020-06-01 09:55:52",Succeeded
64,ExecuteTask,"2020-06-01 09:53:42",27,2,2,RanToCompletion,0,"2020-06-01 09:55:51",Succeeded
65,ExecuteTask,"2020-06-01 09:54:27",28,NULL,2,Created,0,NULL,NULL
66,ExecuteTask,"2020-06-01 09:55:12",29,3,2,RanToCompletion,0,"2020-06-01 09:57:23",Succeeded
67,ExecuteTask,"2020-06-01 09:55:57",30,2,2,RanToCompletion,0,"2020-06-01 09:57:31",Succeeded
68,ExecuteTask,"2020-06-01 09:56:42",21,1,2,RanToCompletion,0,"2020-06-01 09:59:45",Succeeded
69,ExecuteTask,"2020-06-01 09:57:27",22,3,2,RanToCompletion,0,"2020-06-01 10:00:05",Succeeded
70,ExecuteTask,"2020-06-01 09:58:12",23,2,2,RanToCompletion,0,"2020-06-01 09:59:53",Succeeded
71,ExecuteTask,"2020-06-01 09:58:57",24,NULL,2,Created,0,NULL,NULL
72,ExecuteTask,"2020-06-01 09:59:42",25,NULL,2,Created,0,NULL,NULL
73,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 10:02:24",Succeeded
74,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 10:02:24",Succeeded
75,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 10:02:24",Succeeded
76,ExecuteTask,"2020-06-01 10:03:09",21,2,2,RanToCompletion,0,"2020-06-01 10:04:55",Succeeded
77,ExecuteTask,"2020-06-01 10:03:54",22,3,2,RanToCompletion,0,"2020-06-01 10:04:43",Succeeded
78,ExecuteTask,"2020-06-01 10:04:39",23,1,2,RanToCompletion,0,"2020-06-01 10:08:21",Succeeded
79,ExecuteTask,"2020-06-01 10:05:24",24,3,2,RanToCompletion,0,"2020-06-01 10:07:50",Succeeded
80,ExecuteTask,"2020-06-01 10:06:09",25,2,2,RanToCompletion,0,"2020-06-01 10:09:12",Succeeded
81,ExecuteTask,"2020-06-01 10:06:54",26,NULL,2,Created,0,NULL,NULL
82,ExecuteTask,"2020-06-01 10:07:39",27,NULL,2,Created,0,NULL,NULL
83,ExecuteTask,"2020-06-01 10:08:24",28,3,2,RanToCompletion,0,"2020-06-01 10:10:18",Succeeded
84,ExecuteTask,"2020-06-01 10:09:09",29,1,2,RanToCompletion,0,"2020-06-01 10:11:46",Succeeded
85,ExecuteTask,"2020-06-01 10:09:54",30,2,2,RanToCompletion,0,"2020-06-01 10:11:04",Succeeded
86,ExecuteTask,"2020-06-01 10:10:39",21,3,2,RanToCompletion,0,"2020-06-01 10:13:39",Succeeded
87,ExecuteTask,"2020-06-01 10:11:24",22,2,2,RanToCompletion,0,"2020-06-01 10:13:00",Succeeded
88,ExecuteTask,"2020-06-01 10:12:09",23,1,2,RanToCompletion,0,"2020-06-01 10:15:29",Succeeded
89,ExecuteTask,"2020-06-01 10:12:54",24,NULL,2,Created,0,NULL,NULL
90,ExecuteTask,"2020-06-01 10:13:39",25,2,2,RanToCompletion,0,"2020-06-01 10:16:44",Succeeded
91,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 10:18:15",Succeeded
92,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 10:18:16",Succeeded
93,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 10:18:16",Succeeded
94,ExecuteTask,"2020-06-01 10:19:00",21,1,2,RanToCompletion,0,"2020-06-01 10:21:18",Succeeded
95,ExecuteTask,"2020-06-01 10:19:45",22,2,2,RanToCompletion,0,"2020-06-01 10:21:21",Succeeded
96,ExecuteTask,"2020-06-01 10:20:30",23,3,2,RanToCompletion,0,"2020-06-01 10:21:24",Succeeded
97,ExecuteTask,"2020-06-01 10:21:15",24,NULL,2,Created,0,NULL,NULL
98,ExecuteTask,"2020-06-01 10:22:00",25,1,2,RanToCompletion,0,"2020-06-01 10:24:19",Succeeded
99,ExecuteTask,"2020-06-01 10:22:45",26,2,2,RanToCompletion,0,"2020-06-01 10:25:42",Succeeded
100,ExecuteTask,"2020-06-01 10:23:30",27,3,2,RanToCompletion,0,"2020-06-01 10:26:40",Succeeded
101,ExecuteTask,"2020-06-01 10:24:15",28,NULL,2,Created,0,NULL,NULL
102,ExecuteTask,"2020-06-01 10:25:00",29,1,2,RanToCompletion,0,"2020-06-01 10:27:07",Succeeded
103,ExecuteTask,"2020-06-01 10:25:45",30,NULL,2,Created,0,NULL,NULL
104,ExecuteTask,"2020-06-01 10:26:30",21,2,2,RanToCompletion,0,"2020-06-01 10:29:33",Succeeded
105,ExecuteTask,"2020-06-01 10:27:15",22,3,2,RanToCompletion,0,"2020-06-01 10:30:17",Succeeded
106,ExecuteTask,"2020-06-01 10:28:00",23,1,2,RanToCompletion,0,"2020-06-01 10:30:44",Succeeded
107,ExecuteTask,"2020-06-01 10:28:45",24,NULL,2,Created,0,NULL,NULL
108,ExecuteTask,"2020-06-01 10:29:30",25,NULL,2,Created,0,NULL,NULL
109,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 10:33:16",Succeeded
110,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 10:33:17",Succeeded
111,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 10:33:17",Succeeded
112,ExecuteTask,"2020-06-01 10:34:01",21,1,2,RanToCompletion,0,"2020-06-01 10:36:19",Succeeded
113,ExecuteTask,"2020-06-01 10:34:46",22,3,2,RanToCompletion,0,"2020-06-01 10:35:35",Succeeded
114,ExecuteTask,"2020-06-01 10:35:31",23,2,2,RanToCompletion,0,"2020-06-01 10:37:10",Succeeded
115,ExecuteTask,"2020-06-01 10:36:16",24,3,2,RanToCompletion,0,"2020-06-01 10:38:00",Succeeded
116,ExecuteTask,"2020-06-01 10:37:01",25,1,2,RanToCompletion,0,"2020-06-01 10:39:20",Succeeded
117,ExecuteTask,"2020-06-01 10:37:46",26,2,2,RanToCompletion,0,"2020-06-01 10:40:45",Succeeded
118,ExecuteTask,"2020-06-01 10:38:31",27,3,2,RanToCompletion,0,"2020-06-01 10:40:39",Succeeded
119,ExecuteTask,"2020-06-01 10:39:16",28,NULL,2,Created,0,NULL,NULL
120,ExecuteTask,"2020-06-01 10:40:01",29,1,2,RanToCompletion,0,"2020-06-01 10:42:09",Succeeded
121,ExecuteTask,"2020-06-01 10:40:46",30,3,2,RanToCompletion,0,"2020-06-01 10:42:19",Succeeded
122,ExecuteTask,"2020-06-01 10:41:31",21,2,2,RanToCompletion,0,"2020-06-01 10:44:35",Succeeded
123,ExecuteTask,"2020-06-01 10:42:16",22,1,2,RanToCompletion,0,"2020-06-01 10:44:53",Succeeded
124,ExecuteTask,"2020-06-01 10:43:01",23,3,2,RanToCompletion,0,"2020-06-01 10:44:42",Succeeded
125,ExecuteTask,"2020-06-01 10:43:46",24,NULL,2,Created,0,NULL,NULL
126,ExecuteTask,"2020-06-01 10:44:31",25,NULL,2,Created,0,NULL,NULL
127,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 10:47:25",Succeeded
128,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 10:47:25",Succeeded
129,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 10:47:25",Succeeded
130,ExecuteTask,"2020-06-01 10:48:10",21,2,2,RanToCompletion,0,"2020-06-01 10:49:56",Succeeded
131,ExecuteTask,"2020-06-01 10:48:55",22,3,2,RanToCompletion,0,"2020-06-01 10:49:44",Succeeded
132,ExecuteTask,"2020-06-01 10:49:40",23,1,2,RanToCompletion,0,"2020-06-01 10:52:25",Succeeded
133,ExecuteTask,"2020-06-01 10:50:25",24,3,2,RanToCompletion,0,"2020-06-01 10:52:48",Succeeded
134,ExecuteTask,"2020-06-01 10:51:10",25,2,2,RanToCompletion,0,"2020-06-01 10:53:29",Succeeded
135,ExecuteTask,"2020-06-01 10:51:55",26,NULL,2,Created,0,NULL,NULL
136,ExecuteTask,"2020-06-01 10:52:40",27,1,2,RanToCompletion,0,"2020-06-01 10:55:46",Succeeded
137,ExecuteTask,"2020-06-01 10:53:25",28,3,2,RanToCompletion,0,"2020-06-01 10:55:20",Succeeded
138,ExecuteTask,"2020-06-01 10:54:10",29,2,2,RanToCompletion,0,"2020-06-01 10:56:19",Succeeded
139,ExecuteTask,"2020-06-01 10:54:55",30,NULL,2,Created,0,NULL,NULL
140,ExecuteTask,"2020-06-01 10:55:40",21,3,2,RanToCompletion,0,"2020-06-01 10:58:40",Succeeded
141,ExecuteTask,"2020-06-01 10:56:25",22,1,2,RanToCompletion,0,"2020-06-01 10:59:27",Succeeded
142,ExecuteTask,"2020-06-01 10:57:10",23,2,2,RanToCompletion,0,"2020-06-01 10:59:51",Succeeded
143,ExecuteTask,"2020-06-01 10:57:55",24,NULL,2,Created,0,NULL,NULL
144,ExecuteTask,"2020-06-01 10:58:40",25,NULL,2,Created,0,NULL,NULL
145,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 11:01:56",Succeeded
146,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 11:01:56",Succeeded
147,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 11:01:56",Succeeded
148,ExecuteTask,"2020-06-01 11:02:41",21,1,2,RanToCompletion,0,"2020-06-01 11:04:59",Succeeded
149,ExecuteTask,"2020-06-01 11:03:26",22,2,2,RanToCompletion,0,"2020-06-01 11:05:01",Succeeded
150,ExecuteTask,"2020-06-01 11:04:11",23,3,2,RanToCompletion,0,"2020-06-01 11:05:04",Succeeded
151,ExecuteTask,"2020-06-01 11:04:56",24,NULL,2,Created,0,NULL,NULL
152,ExecuteTask,"2020-06-01 11:05:41",25,1,2,RanToCompletion,0,"2020-06-01 11:08:00",Succeeded
153,ExecuteTask,"2020-06-01 11:06:26",26,2,2,RanToCompletion,0,"2020-06-01 11:09:21",Succeeded
154,ExecuteTask,"2020-06-01 11:07:11",27,3,2,RanToCompletion,0,"2020-06-01 11:10:19",Succeeded
155,ExecuteTask,"2020-06-01 11:07:56",28,NULL,2,Created,0,NULL,NULL
156,ExecuteTask,"2020-06-01 11:08:41",29,1,2,RanToCompletion,0,"2020-06-01 11:10:49",Succeeded
157,ExecuteTask,"2020-06-01 11:09:26",30,2,2,RanToCompletion,0,"2020-06-01 11:10:51",Succeeded
158,ExecuteTask,"2020-06-01 11:10:11",21,NULL,2,Created,0,NULL,NULL
159,ExecuteTask,"2020-06-01 11:10:56",22,3,2,RanToCompletion,0,"2020-06-01 11:13:58",Succeeded
160,ExecuteTask,"2020-06-01 11:11:41",23,1,2,RanToCompletion,0,"2020-06-01 11:14:24",Succeeded
161,ExecuteTask,"2020-06-01 11:12:26",24,2,2,RanToCompletion,0,"2020-06-01 11:13:10",Succeeded
162,ExecuteTask,"2020-06-01 11:13:11",25,NULL,2,Created,0,NULL,NULL
163,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 11:16:58",Succeeded
164,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 11:16:59",Succeeded
165,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 11:16:59",Succeeded
166,ExecuteTask,"2020-06-01 11:17:43",21,1,2,RanToCompletion,0,"2020-06-01 11:20:01",Succeeded
167,ExecuteTask,"2020-06-01 11:18:28",22,3,2,RanToCompletion,0,"2020-06-01 11:19:17",Succeeded
168,ExecuteTask,"2020-06-01 11:19:13",23,2,2,RanToCompletion,0,"2020-06-01 11:20:54",Succeeded
169,ExecuteTask,"2020-06-01 11:19:58",24,3,2,RanToCompletion,0,"2020-06-01 11:21:41",Succeeded
170,ExecuteTask,"2020-06-01 11:20:43",25,1,2,RanToCompletion,0,"2020-06-01 11:23:12",Succeeded
171,ExecuteTask,"2020-06-01 11:21:28",26,2,2,RanToCompletion,0,"2020-06-01 11:24:27",Succeeded
172,ExecuteTask,"2020-06-01 11:22:13",27,3,2,RanToCompletion,0,"2020-06-01 11:24:22",Succeeded
173,ExecuteTask,"2020-06-01 11:22:58",28,NULL,2,Created,0,NULL,NULL
174,ExecuteTask,"2020-06-01 11:23:43",29,1,2,RanToCompletion,0,"2020-06-01 11:25:50",Succeeded
175,ExecuteTask,"2020-06-01 11:24:28",30,3,2,RanToCompletion,0,"2020-06-01 11:26:01",Succeeded
176,ExecuteTask,"2020-06-01 11:25:13",21,2,2,RanToCompletion,0,"2020-06-01 11:28:17",Succeeded
177,ExecuteTask,"2020-06-01 11:25:58",22,1,2,RanToCompletion,0,"2020-06-01 11:28:34",Succeeded
178,ExecuteTask,"2020-06-01 11:26:43",23,3,2,RanToCompletion,0,"2020-06-01 11:28:24",Succeeded
179,ExecuteTask,"2020-06-01 11:27:28",24,NULL,2,Created,0,NULL,NULL
