1,1,1,0
1,1,20,0
1,1,40,0
1,20,1,0
1,20,20,0
1,20,40,0
1,40,1,0
1,40,20,0
1,40,40,0
20,1,1,0
20,1,20,0
20,1,40,0
20,20,1,0
20,20,20,0
20,20,40,0
20,40,1,0
20,40,20,0
20,40,40,0
40,1,1,0
40,1,20,0
40,1,40,0
40,20,1,0
40,20,20,0
40,20,40,0
40,40,1,0
40,40,20,0
40,40,40,0
1,1,0,1
1,1,0,20
1,1,0,40
1,20,0,1
1,20,0,20
1,20,0,40
1,40,0,1
1,40,0,20
1,40,0,40
20,1,0,1
20,1,0,20
20,1,0,40
20,20,0,1
20,20,0,20
20,20,0,40
20,40,0,1
20,40,0,20
20,40,0,40
40,1,0,1
40,1,0,20
40,1,0,40
40,20,0,1
40,20,0,20
40,20,0,40
40,40,0,1
40,40,0,20
40,40,0,40
1,0,1,1
1,0,1,20
1,0,1,40
1,0,20,1
1,0,20,20
1,0,20,40
1,0,40,1
1,0,40,20
1,0,40,40
20,0,1,1
20,0,1,20
20,0,1,40
20,0,20,1
20,0,20,20
20,0,20,40
20,0,40,1
20,0,40,20
20,0,40,40
40,0,1,1
40,0,1,20
40,0,1,40
40,0,20,1
40,0,20,20
40,0,20,40
40,0,40,1
40,0,40,20
40,0,40,40
0,1,1,1
0,1,1,20
0,1,1,40
0,1,20,1
0,1,20,20
0,1,20,40
0,1,40,1
0,1,40,20
0,1,40,40
0,20,1,1
0,20,1,20
0,20,1,40
0,20,20,1
0,20,20,20
0,20,20,40
0,20,40,1
0,20,40,20
0,20,40,40
0,40,1,1
0,40,1,20
0,40,1,40
0,40,20,1
0,40,20,20
0,40,20,40
0,40,40,1
0,40,40,20
0,40,40,40
